title,Description,Room Categories,Item Categories,Item Attributes,Price,Sku,URL,Image URLs,Brand,Color,Retailer,Width,Height,Depth
Small 3 Piece White Vanity Set with Mirror and Bench,"Small 3 Piece White Vanity Set with Mirror and Bench by Condor Manufacturing.Includes mirror and bench.Adjustable tilt mirror.Constructed from solid and veneer woods with lacquer finish.Table is 31x16x30, bench is 19x14x16, and the mirror is 19x13.Some assembly required.",Bedroom Furniture,Vanities and Benches,Wood,118,HS-8138WH,https://www.afw.com/small-3-piece-white-vanity-set-with-mirror-and-bench,"https://images.afw.com/images/thumbs/0037634_small-3-piece-white-vanity-set-with-mirror-and-bench_100.jpeg,https://images.afw.com/images/thumbs/0037638_small-3-piece-white-vanity-set-with-mirror-and-bench_100.jpeg,https://images.afw.com/images/thumbs/0037643_small-3-piece-white-vanity-set-with-mirror-and-bench_100.jpeg,https://images.afw.com/images/thumbs/0037648_small-3-piece-white-vanity-set-with-mirror-and-bench_100.jpeg",American Furniture Warehouse,White,afw.com,29.75,30,15.75
"Step One - Full/Queen Headboard, Chocolate *D","European-inspired, this full/queen headboard (54/60"""") is suitable for a queen or full bed.Its geometric lines and Chocolate finish will complement your bedroom with an air of elegance.Pairs well with pieces in the same finish.Designed to be attached to platform beds 3159203, 3159217 or 3159233 for a complete kit.Can also be attached to a standard full (54) or queen metal bed frame.Accessories not included.Requires complete assembly by 2 adults (tools not included).This products packaging has been tested and is certified to reduce the risk of damage during shipment.Made in Canada with non-toxic laminated particle board.5-year limited warranty.",Bedroom Furniture,Headboards,Wood,159,3159270,https://www.afw.com/step-one-fullqueen-headboard-d,"https://images.afw.com/images/thumbs/0005216_step-one-fullqueen-headboard-chocolate-d_100.jpeg,https://images.afw.com/images/thumbs/0005220_step-one-fullqueen-headboard-chocolate-d_100.jpeg",American Furniture Warehouse,Brown/Espresso,afw.com,64,46,3
Rustic 3 Drawer Storage Chest,3 DRAWER STORAGE CHEST BY SAN BERANRDOSOLID PINE CONSTRUCTION WITH WAX FINISH 3 STORAGE DRAWERSFULLY ASSEMBLED,Storage and Shelves,Accent Chests,Wood,79,6671,https://www.afw.com/rustic-3-drawer-storage-chest,,American Furniture Warehouse,Light Wood,afw.com,23,35.5,16
Laguna Dresser Black Cherry,Laguna 9 Drawer Dresser,Bedroom Furniture,Kids Bedroom Furniture,Wood,398,BC-4535,https://www.afw.com/laguna-dresser-black-cherry,,American Furniture Warehouse,Black,afw.com,56,32,18
Sedona Hall Tree Bench,Rustic oak hall tree bench by Sunny DesignsSolid knotty oak constructionSeat lifts up for hidden storageMirrored backGenuine railroad spikes for coat/hat hangingMakes the perfect entry or accent pieceShips in 2 cartons,Storage and Shelves,Coat Racks and Hall Trees,Wood,368,1B-2537RO,https://www.afw.com/sedona-hall-tree-bench,"https://images.afw.com/images/thumbs/0145339_sedona-hall-tree-bench_100.jpeg,https://images.afw.com/images/thumbs/0145335_sedona-hall-tree-bench_100.jpeg,https://images.afw.com/images/thumbs/0145336_sedona-hall-tree-bench_100.jpeg,https://images.afw.com/images/thumbs/0145333_sedona-hall-tree-bench_100.jpeg,https://images.afw.com/images/thumbs/0145334_sedona-hall-tree-bench_100.jpeg,https://images.afw.com/images/thumbs/0145337_sedona-hall-tree-bench_100.jpeg,https://images.afw.com/images/thumbs/0145338_sedona-hall-tree-bench_100.jpeg",American Furniture Warehouse,Dark Wood,afw.com,38,78,17
French Country Hall Tree,French Country hall tree by Sunny DesignsDistressed birch solids and veneer constructionHand rubbed vintage white with bourbon finish seatSeat lifts up for hidden storageMirrored backGenuine railroad spikes for coat/hat hangingMakes the perfect entry or accent piece,Storage and Shelves,Coat Racks and Hall Trees,Wood,448,2537FC,https://www.afw.com/french-country-hall-tree,"https://images.afw.com/images/thumbs/0105400_2537FC_5d91e_100.jpeg,https://images.afw.com/images/thumbs/0105401_2537FC_bed5d_100.jpeg,https://images.afw.com/images/thumbs/0105402_2537FC_ee178_100.jpeg,https://images.afw.com/images/thumbs/0105403_2537FC_22dad_100.jpeg",American Furniture Warehouse,White,afw.com,38,78,17
"Gravity - 2-Drawer Nightstand, Seaside Pine* D","OPEN AND CLOSED STORAGE: What makes this nightstand so amazing? The well thought out storage spaces. The open space can be useful for keeping some items – like a book or a cell phone – close at hand… and you can use the two drawers to store light clothing and accessories.METAL SLIDES: the two drawers of this nightstand are mounted on metal slides, for increased sturdiness and quiet use.VERSATILE: this side table works in many rooms. Wherever you put it – the living room, the bedroom, or even the basement – it’ll meet your needs.CONTEMPORARY STYLE: add a stylish and clean touch to your decor with this nightstand, which will stand out by its thin handles and squared legs.5-YEAR LIMITED WARRANTY: South Shore is proud to stand behind this 2-drawer nightstand - end table with storage with an exclusive 5-year limited warranty. Shop with confidence knowing your purchase is always covered.EASY ASSEMBLY INSTRUCTIONS: All products come with a clear assembly document that will guide you through all steps. If you have any questions during the assembly do not hesitate to contact South Shore Furniture for immediate support.This item it shipped in 1 boxClean with a dry cloth",Bedroom Furniture,Nightstands,Composite,189,11898,https://www.afw.com/gravity-2-drawer-nightstand-seaside-pine-d,"https://images.afw.com/images/thumbs/0156583_11898_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156587_11898_10.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156590_11898_11.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156586_11898_2.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156581_11898_3.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156582_11898_4.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156585_11898_5.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156584_11898_6.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156589_11898_7.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156591_11898_8.jpg_100.jpeg,https://images.afw.com/images/thumbs/0156588_11898_9.jpg_100.jpeg",American Furniture Warehouse,Light Wood,afw.com,21.75,22.75,17
Shoal Creek Display Cabinet Indigo Blue * D,"Shoal Creek Display Cabinet Indigo Blue By Sauder.Framed, safety-tempered glass doors feature geometric, cut-out design.Adjustable shelf behind doors.Indigo Blue finish.",Storage and Shelves,Accent Chests,Wood,323.56,420128,https://www.afw.com/shoal-creek-display-cabinet-indigoindigo-blue-d,"https://images.afw.com/images/thumbs/0064355_420128_22e13_100.jpeg,https://images.afw.com/images/thumbs/0064357_420128_909ba_100.jpeg,https://images.afw.com/images/thumbs/0064359_420128_2cf73_100.jpeg,https://images.afw.com/images/thumbs/0064361_420128_35f78_100.jpeg,https://images.afw.com/images/thumbs/0064363_420128_6115e_100.jpeg,https://images.afw.com/images/thumbs/0064365_420128_36a96_100.jpeg,https://images.afw.com/images/thumbs/0064367_420128_20a78_100.jpeg,https://images.afw.com/images/thumbs/0064369_420128_52f81_100.jpeg",American Furniture Warehouse,Blue,afw.com,35.98,35.95,15.75
Santa Fe Hall Tree,Santa Fe hall tree by Sunny DesignsDistressed Birch solids and veneer constructionDark chocolate finishSeat lifts up for hidden storageMirrored backGenuine railroad spikes for coat/hat hangingMakes the perfect entry or accent pieceShips in 2 cartons,Storage and Shelves,Coat Racks and Hall Trees,Wood,448,2537DC,https://www.afw.com/santa-fe-hall-tree,,American Furniture Warehouse,Dark Wood,afw.com,38,78,17
"Tassio - 1-Drawer Nightstand, Gray Oak* D","A SLIDING DRAWER: this nightstand's drawer is mounted on solid metal slides, it will never get jammed!LIKE A DAY IN THE COUNTRY: the aged wood finish and antique style metal handle give this night stand a look inspired by a beautiful country house.WITHIN EASY REACH: this furniture's surface and open space will allow you to keep your favorite books, and anything else you need when relaxing, near at hand.5-YEAR LIMITED WARRANTY: South Shore is proud to stand behind this 1-drawer nightstand with open storage space with an exclusive 5-year limited warranty. Shop with confidence knowing your purchase is always covered.EASY ASSEMBLY INSTRUCTIONS: All products come with a clear assembly document that will guide you through all steps. If you have any questions during the assembly do not hesitate to contact South Shore Furniture for immediate support.This item it shipped in 1 boxClean with a dry cloth",Bedroom Furniture,Nightstands,Composite,129,12985,https://www.afw.com/tassio-1-drawer-nightstand-gray-oak-d,"https://images.afw.com/images/thumbs/0157509_12985_1.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157514_12985_10.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157512_12985_11.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157506_12985_2.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157507_12985_3.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157504_12985_4.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157505_12985_5.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157508_12985_6.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157510_12985_7.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157513_12985_8.jpg_100.jpeg,https://images.afw.com/images/thumbs/0157511_12985_9.jpg_100.jpeg",American Furniture Warehouse,Gray,afw.com,17.75,25,17
